site_id,station_name,latitude,longitude,drainage_area,state,county,data_source
USGS-ILRIVERWATCH-R0800201,ALLISON D #1,38.687942,-87.597309,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0800301,ALLISON D #2,38.678831,-87.589389,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0801201,Big Cr,39.10069,-87.80573,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0801801,Calfkiller Cr,38.82705,-87.99381,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0802001,N Fk Embarras R,39.3292,-87.8958,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0802002,N Fk Embarras R,39.36741,-87.90493,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0802003,N Fk Embarras R,39.4298,-87.9335,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0802004,N Fk Embarras R,39.3944,-87.903,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0802005,N Fk Embarras R,39.41608,-87.90654,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0802006,N Fk Embarras R,39.41608,-87.90654,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0802503,Riley Cr,39.51129,-88.32702,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0803501,Mint Cr,39.05521,-88.23341,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0803701,Range Cr,39.17142,-88.18198,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0804401,Bear Cr Trib,39.31264,-88.32047,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0804701,Hurricane Cr,39.33278,-88.12036,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0804702,HURRICANE CR,39.30736,-88.13925,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0804703,Hurricane Cr,39.30728,-88.13917,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0804704,Hurricane Cr,39.30766,-88.13923,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0804801,W Br Hurricane Cr,39.3951,-88.0834,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0804901,E Br Hurricane Cr,39.39168,-88.05692,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0805001,Indian Cr,39.41486,-88.18423,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0805101,Kickapoo Cr,39.4734,-88.36427,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0805102,Kickapoo Cr,39.44315,-88.17299,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0805103,Kickapoo Cr,39.46729,-88.21929,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0805104,Kickapoo Cr,39.44315,-88.17299,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0805105,Kickapoo Cr,39.46961,-88.32132,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0805106,Kickapoo Cr,39.46521,-88.23028,,,,embarrass-station.xlsx
